#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="lambdaPrior" spec="beast.math.distributions.Prior">
#            <parameter id="lambda" lower="0.0" name="x">54.1667</parameter>
#            <distr id="OneOnX" spec="beast.math.distributions.OneOnX"/>
#        </distribution>
#        <snapprior id="snapprior" lambda="@lambda" name="distribution" rateprior="gamma">
#            <parameter id="alpha" lower="0.0" name="alpha">2.0</parameter>
#            <parameter id="beta" lower="0.0" name="beta">20.0</parameter>
#            <parameter id="kappa" lower="0.0" name="kappa">34.6574</parameter>
#            <parameter id="coalescenceRate" name="coalescenceRate">10.0</parameter>
#            <tree clusterType="upgma" id="tree" nodetype="snap.NodeData" spec="beast.util.ClusterTree">
#                <taxa dataType="integerdata" id="snapalignment" spec="snap.Data" statecount="3">
#                    <sequence id="Sequence" taxon="A" totalcount="3">2,2,1,0,2,2,0,0,2,2,0,2,0,0,0,1,0,2,0,2,</sequence>
#                    <sequence id="Sequence1" taxon="B" totalcount="3">2,0,2,1,2,2,0,0,2,0,1,2,0,0,0,0,0,0,0,1,</sequence>
#                    <sequence id="Sequence2" taxon="C" totalcount="3">0,0,2,0,1,2,0,1,0,2,0,1,0,0,1,0,0,2,0,2,</sequence>
#                    <sequence id="Sequence3" taxon="D" totalcount="3">2,0,2,0,2,0,2,0,0,2,0,2,1,2,2,0,2,2,2,2,</sequence>
#                </taxa>
#            </tree>
#        </snapprior>
#    </distribution>
#    <snaptreelikelihood data="@snapalignment" id="treeLikelihood" name="distribution" non-polymorphic="false" pattern="rate" tree="@tree">
#        <siteModel id="siteModel" spec="beast.evolution.sitemodel.SiteModel">
#            <substModel coalescenceRate="@coalescenceRate" id="SnapSubstitutionModel" spec="snap.likelihood.SnapSubstitutionModel">
#                <parameter id="u" lower="0.0" name="mutationRateU">1.0</parameter>
#                <parameter id="v" lower="0.0" name="mutationRateV">1.0</parameter>
#            </substModel>
#        </siteModel>
#    </snaptreelikelihood>
#</input>
#
Sample	u	v	prior	lambdaPrior	treeLikelihood	P0	P1	posterior	lambda	coalescenceRate1	coalescenceRate2	coalescenceRate3	coalescenceRate4	coalescenceRate5	coalescenceRate6	coalescenceRate7	theta0	theta1	theta2	theta3	theta4	theta5	theta6	tree.height	tree.length
2300	1.0	1.0	-74.64731901637491	-3.9920663284861084	-79.63445450726029	0.31085630881026477	0.31085630881026527	-154.2817735236352	54.1667	11.013749711364737	29.832723468038953	22.164603584510406	8.95464070127973	34.52340473626396	11.845121640236663	12.885083818752905	0.18159119758607406	0.06704047661430187	0.09023396210874204	0.2233478781247108	0.05793171372518674	0.16884588109304047	0.15521823746999666	0.03484606179095034	0.08828553942110884
2400	1.0	1.0	-87.40361071083953	-3.9920663284861084	-68.95450045123859	0.3143486905569989	0.314348690556998	-156.3581111620781	54.1667	17.900274226737892	38.073506161099175	8.567733786294358	28.55481131743172	82.42881415954206	37.61813780702782	30.65162112772981	0.1117301318776766	0.052529966416475164	0.23343395696997055	0.07004073596448769	0.024263360093097708	0.05316584277136546	0.065249403666635	0.0714679572021017	0.23484289040638828
2500	1.0	1.0	-84.89071146538524	-3.9920663284861084	-68.51752297812234	0.37396692496823236	0.37396692496823314	-153.40823444350758	54.1667	35.0659738973876	60.098192657665514	15.279526753160317	142.1009139798982	110.9990965948333	17.594124857382262	27.03624382294603	0.05703534730997445	0.03327887098689482	0.1308941063627074	0.014074504828891691	0.01801816466399146	0.11367430981716754	0.0739747730157165	0.032604923158157835	0.10014011196209471
2600	1.0	1.0	-86.69905449941798	-3.9920663284861084	-69.24312182082254	0.3897195800741118	0.3897195800741117	-155.94217632024052	54.1667	47.118460508671326	139.4172302797856	26.11990618825508	159.4731260873773	84.53235988992813	31.01687636443864	25.150581007766355	0.04244620852228258	0.014345429155251152	0.07656995341351218	0.012541298017223135	0.02365957844551192	0.0644810256358707	0.0795210257521451	0.020520151353878895	0.0691961829509454
2700	1.0	1.0	-81.41945263238428	-3.9920663284861084	-72.28554872008945	0.3483091036136697	0.34830910361366585	-153.70500135247374	54.1667	95.53925728951276	11.786366122332185	7.521796148794548	46.63046166761301	42.371645150286284	33.45804454077127	17.549734512739242	0.020933803095615416	0.1696875847264328	0.2658939381547215	0.04289041816176337	0.04720137707436849	0.05977635655194499	0.1139618379154518	0.039048589186202916	0.11024538345762575
2800	1.0	1.0	-87.73394808538956	-3.9920663284861084	-71.00748425136733	0.305132729582148	0.3051327295821481	-158.74143233675687	54.1667	72.94750250348316	13.94895741389398	24.5537951690063	149.18420042761164	38.684495179149536	15.048597109727835	15.955908180844231	0.02741697702268151	0.14337989146112687	0.08145380321998266	0.013406245395070881	0.05170029984204047	0.13290275401865492	0.12534541922227202	0.08613220347395074	0.2105119081349246
2900	1.0	1.0	-84.26363448548179	-3.9920663284861084	-69.59930684515741	0.34672513517683806	0.34672513517683845	-153.86294133063922	54.1667	52.29170716424254	22.424762979279382	18.471504997778958	264.01056102187016	72.53655167516992	13.829249859317247	17.032429029869633	0.038246982331600274	0.08918711880468981	0.1082748807008678	0.00757545452825398	0.027572306014163928	0.14462100405630682	0.1174230637622277	0.030315749050298664	0.10475251481559195
3000	1.0	1.0	-90.94401944799664	-3.9920663284861084	-67.86111233190287	0.35344229411251527	0.353442294112516	-158.8051317798995	54.1667	48.35238140653898	21.21419302782351	19.2993613809652	499.27467429443806	53.685914478194505	10.797147052772399	54.77179182585123	0.04136300926285976	0.09427650617569552	0.10363037203772886	0.004005811035431244	0.037253719517292304	0.18523411695929964	0.036515146452740996	0.057821284372131895	0.17476626375201915
3100	1.0	1.0	-87.65878851133088	-3.9920663284861084	-70.31070819726587	0.3838824906533088	0.38388249065331026	-157.96949670859675	54.1667	23.9432055432838	28.11889362078963	19.746635547548443	520.5438031952244	288.4196493033723	7.095451949580306	23.04139938050789	0.08353100408316091	0.07112655380300259	0.10128307656178427	0.0038421358351084264	0.0069343403087503	0.2818706988944234	0.0868002835666275	0.017634990465555174	0.06280093735394443
3200	1.0	1.0	-84.56009391275616	-3.9920663284861084	-70.98141693859729	0.3380001833686976	0.3380001833686959	-155.54151085135345	54.1667	19.53682251936357	16.745310483415413	16.549973464758548	86.73272438913939	226.42641619430756	5.326618758159108	18.764157438557262	0.10237079228302022	0.11943642382628879	0.12084611520730185	0.023059347138995653	0.00883289164583916	0.3754727137053835	0.10658618733875726	0.0369249835704343	0.11357488011218644
3300	1.0	1.0	-87.94645110981031	-3.9920663284861084	-67.98677883099245	0.3594283338584781	0.3594283338584774	-155.93322994080276	54.1667	60.08899948621226	52.75406844027029	30.37284014743711	69.95954734784364	188.777903861457	11.86784375580897	27.794444254643782	0.03328396240744382	0.037911767928656706	0.0658483036255917	0.028587949405330822	0.010594460257741755	0.1685226095954505	0.07195682639583081	0.04317189495577359	0.13495275683948327
3400	1.0	1.0	-86.29574359505293	-3.9920663284861084	-70.78117703281958	0.3923312240706985	0.392331224070697	-157.0769206278725	54.1667	86.59089001833408	77.14208272169434	32.65115821287386	48.62530141512163	114.62961609216988	23.79269448179667	36.1482619453584	0.02309711794827996	0.025926186193538543	0.06125356984155711	0.0411308504378347	0.017447498021731716	0.08405941586524222	0.0553276946765295	0.03133869460418706	0.09393751071908063
